제목,label
박홍근 대통령 아무말 투척  자해적 외교 폭탄,0
민주당 전대 돈 봉투의혹 강래구 구속심사 출석 성실히 소명하겠다,0
"이재명 전세사기로 벼랑 끝 국민 방치하는 정부, 존재 이유 없다",0
北은 핵반격 개발 중인데 文정부때 훈련 축소로 예산 부족,0
"尹 지지율, 4%p 오른 31% 한 주 만에 30%대 회복 ",0
김영철 서울시의원 목동 1 2 3단지 재산권 침해 최소화 방안 마련에 힘써야,0
"안규백 송영길, 조기 귀국해 당도 살고 본인도 살아야",0
돈봉투구속심사 강래구 언젠가는 말할 날 있을 것,0
"정부, 일본 기시다 총리 야스쿠니 공물 봉납에 깊은 실망과 유감",0
 우리도 도움 받아 우크라전 언급하며 6 25 꺼낸 尹,0
野 자해적 외교폭탄 vs 與 외교자해 도 넘어,0
민주당 돈봉투 의혹구속 기로 강래구 언젠가 말할 날 있을 것,0
윤 대통령 지지율 31% 부정평가 3명 중 1명은 외교때문,0
우상호 尹 대통령 외교적 무능 실수 중러 동시에 자극,0
"디올사랑눈총 받은 김주애, 이번엔 2만원짜리 중국산 블라우스",0
"우상호 돈봉투 현역 20명? 과장됐다 송영길, 의혹만으로 출당 안될 말",0
김경 서울시의원 자살사태로 치닫는 전세사기대책 실효성이 부족,0
與 김기현호 7년 만에 당대표실 이사 정권 다시 찾아 원래 공간으로,0
"김혜영 서울시의원 신규 채용된 교육청 청렴시민감사관, 조희연 교육감 코드인사 의혹",0
"명품 디올입던 김주애 2만원대 중국산 블라우스, 왜?",0
민주당 돈봉투 의혹 불똥 튄 대의원제 당내에선 교각살우 비판,0
"이재명 전세사기 피해자 방치하는 정부, 존재할 자격 없어",0
"윤재옥, 野 쌍특검 패스트트랙 추진에 李 宋 방탄용 비판",0
與 민주 외교자해 도넘어...대통령 향한 中 무례한 발언에 동조,0
"김규남 서울시의원 풍납동 규제 완화 대정부 건의안, 상임위 통과",0
작년에도 12.7조 손해 봤다...한전 5년간 26조 탈원전의 덫,0
"북 최선희 핵보유국 지위, 최종적 불가역적 G7 성명 반박",0
임규호 서울시의원 10.29참사 반년 임기응변식 방편으론 압사 또 일어날 수도,0
"호남대 김덕모 교수, 언론중재위원회 중재위원 위촉",0
건축왕전세사기 계속되는 유력정치인 배후설,0
"디올 입던 김주애 이번엔 2만원대 中블라우스 입었다, 왜",0
건축왕 사업에 정치인 배후설 원희룡 특별수사 요청,0
"北 최선희, 핵보유국 불인정 G7 공동성명에 황당무계한 내정 간섭",0
"당정, 마약류 관리 종합대책 논의  온라인 다크패턴근절책도 협의",0
"尹, 기후변화 정상회의 참여... 원전 수소 비중 높이겠다",0
"WP 바이든, 25일 영상메시지로 재선 도전 공식 발표",1
북한 최선희 세계적 핵 열강 지위 불가역적  NPT 20년전 합법 탈퇴,0
"김두관 이재명 말고 누굴 앞세워 총선 치르겠나, 단결해야",0
"미, 윤 무기지원 가능성러 반발에 한국, 방위 약속한 동맹",0
스쿨존보호 강화 법안 뒤늦게 쏟아지지만 안전에 공짜 없다,0
민주당 돈봉투 의혹 핵심 역할 강래구 오늘 영장심사,0
탈 출결심 못한 민주당 돈봉투 의혹대응 갈팡질팡,0
안보 리스크 긁어 부스럼윤 대통령 마이너스 외교비판,0
뒷문으로 사라진 김기현 대표  국민의힘은 이사 중,0
음주운전 봉쇄시동 잠금장치 누가 대신 불면 어쩌죠? ,0
대만 총통 누가 되느냐에 따라 중국 압력 종류 달라져,0
대만 총통 선거 윤곽 강경 독립론여당 후보 여론조사 선두,0
CCTV설치가 저출산 대책? 헛발질 예산만 10년간 7조4000억원,0
이정근 닦달에 1000만원 해줬다 이성만도 돈조달 의혹,0
 여론조사 규제하는 장제원 윤심 법안 선관위가 제동,0
운영위 2번 연 저출산 컨트롤타워의 태생적 한계,0
 이태원 악몽 없도록 美처럼 재난 막는 예비군 만든다,0
러 한국 협박에 美 방어공약 진지하게 여긴다,0
2023년 북한에 관한 한미 공동선언을 제안한다,0
" 가짜 뉴스로 美는 1조원 배상, 韓은 오히려 돈 벌고 정치 이득",0
 내란 선동이석기 추종 세력이 국정원 포위 시위하는 나라,0
 초강대국 미국은 왜 70년 전 한미 상호방위조약을 맺었나,0
"韓, 핵우산 운용에 관여정상회담 공동 문안에 담길듯",0
6 25 미군 전사자 3만6634명 한국 對美투자 624억 달러,0
"수차례 고비끝 건립된 추모의 벽, 한미동맹 상징으로",0
시련 속 더 탄탄해진 동맹 한반도 안보협력 넘어 글로벌 파트너로,0
"경제-기술로 동맹 확장 한미, 미래로 같이 간다",0
"합참의장, 배치 6년만에 사드기지 공개 방문 기지 정상화 빨라질듯",0
"조국, 총선 나오나... 사법부의 재판 지연이 부른 출마론",0
한미 경제안보 동맹FTA로 수출 70% 늘고 IPEF 공급망 협력,0
총선까지 1년 양당 모두 원심력이 커지고 있다,0
"中, 주한미군 감시용 스텔스 드론 개발...격추 사실상 불가능",0
중국 대만 말참견 말라 한국 국격 의심돼,0
법조인 출신-자유 인권 중시 공통점 尹-바이든 케미주목,0
"바이든 부부, 국빈만찬 초청 MB땐 오바마 여사가 주도",0
"인천 전세사기꾼, 최문순에 동해 개발 6700억 사업권 따냈다",0
 성남시장실 CCTV로는 찍히지 않은 장면들,0
20대 무당층 1년 새 27→57% 정치권 포퓰리즘에 MZ 마음 떠났다,0
尹대통령 與지도부 방미 앞두고 만찬,0
野 무모하고 무지 정부에 공세,0
"민노총 진보당, 세월호 핼러윈 이어 전세사기 대책위만들어",0
한미동맹 70주년 뉴욕 타임스스퀘어에 뜬 6 25 영웅들,0
"0.59%p差로 패한 홍영표 송영길, 국민께 용서 구해라",0
 박노향 별세 외,0
"한 일 기업인 경제협력 상의, 공부 모임 만든다",0
 완벽하게 정치가 부재한 세계,0
" 혐오의 대상 아닌 삶의 변화 주체, 노동조합",0
"원희룡 건축왕 전세사기에 고위 정치인 연루 제보, 특별수사 요청",0
與 전세대책 법안 27일 본회의 처리 세부 내용은 못정해,0
세입자 낙찰때 추가 목돈 어디서  우선매수권 효과 미지수,0
"민형배 꼼수 탈당1년 민주당 의원 20여명, 복당 요구",0
잇단 설화에 김재원 이어 태영호도 與최고위 불참,0
"송영길, 탈당도 고민중 당 안팎선 정계은퇴 해야 요구",0
"野4당, 이태원 특별법발의 특조위에 특검 요구권",0
"檢, 전대 돈봉투 의혹강래구에 자금 건넨 사업가 압수수색",0
 지역균형발전의 새로운 대안 분산에너지법,0
연금개혁마크롱 거리서 민심 청취,0
美의원 21명 11월 APEC에 대만총통 초청을,0
송영길 내일 파리서 회견후 바로 귀국할듯,0
6 25전쟁 한미 참전용사 10대 영웅선정,0
재원 구체방안도 없이 설익은 전세사기 대책,0
"中 대만문제 말참견 말라 韓 입에 못담을 발언, 국격 의심",0
美에 헌 포탄50만발 빌려주고 새 포탄으로 받는다,0
기시다 내가 한국 갈 차례 한일 관계 소중,0
백선엽-맥아더 뉴욕 한복판에 6 25 10대 영웅영상,0
"尹, 미군 수뇌부에 안보브리핑 받는다 한미 공조 상징적 장면",0
"美, 韓서 빌린 포탄 우크라 지원 활용 가능성",0
"우득정 전 본지 논설위원 등 
신임 언론중재위원 11명 위촉",0
백선엽 맥아더 한미 10대 영웅뉴욕 한복판서 만난다,0
 이승만은 국부가 아니다/김상연 전략기획실장,0
" 돈봉투당사자 송영길, 당장 귀국해 소명하라",0
" 우크라 군사지원, 시작도 끝도 국익이 기준이다",0
 여야 힘겨루기로 전세사기 대책 때 놓치지 말아야,0
강래구 뇌물수수 혐의도 적용한 檢 돈봉투피의자 늘어날 듯,0
회계 공개 거부42개 노조 현장조사 불공정 채용 처벌도 추진,0
반도체 배터리 에너지 등 협력 한일 경제인 공부모임만든다,0
무슨 돈으로 공공매입 선 그은 원희룡 피해자 채무조정 속도전,0
한자리 앉은 여야대표,0
파리 가서 송영길 데려오자 압박 비난 수위 올린 민주당,0
尹대통령 바이든 부부 동행 25일 한국전쟁기념비방문,0
이차전지 초격차2030년까지 20조 투자,0
北 정찰위성 도발 초읽기 사드기지 간 합참의장 철통감시,0
대통령실 우크라 지원 변화 없어 한중 尹 대만 발언신경전,0
美 미니트맨3 시험 발사 北에 핵무기 보복경고,0
전세사기 피해자에 우선매수권 저리대출,0
 4년만에 무너지는 날치기 선거법,0
 교육 복지 투자로 생산성 높여 멋진 노동자만들어야,0
" 북한의 선제 핵 공격, 얼마나 가능할까",0
"대통령의 러 중 자극과 미국에 다걸기, 한반도 위기 키운다",0
 일본인의 사람다움과 일본의 국가다움을 묻다,0
 밥값과 돈봉투,0
 국빈방문과 외신인터뷰,0
 전세사기 주택 공공매입? 선순위 채권자만 좋은 일,0
나토 사무총장 전쟁 후 첫 키이우 방문 우크라 있어야할 곳은 나토,0
"윤 대통령 26일 바이든과 회담, 27일 미국 의회연설",0
" 우크라이나 무기 지원 시사 발언, 과장과 왜곡은 금물",0
" 반 토막 난 여당 지도부 회의, 뼈를 깎는 쇄신만이 답이다",0
러 우크라 군사지원은 적대행위 미국 한국 기여 환영,0
중국 대만문제 말참견 한국 외교결례 싱하이밍 불러 항의,0
"원희룡 전세사기에 정치인들 압력, 제보 받아 특별수사 중",0
"야 4당, 이태원참사특별법 발의 여당 재난의 정쟁화",0
"민주당, 송영길 파리회견 전전긍긍 뭔 말 할지 몰라, 특사라도 보내 말려야",0
"정부 북 개성공단 중국투자 유치, 유엔제재 위반 소지",0
우크라 군사 지원시사 파장까지 신중히 헤아렸을까,0
北 정찰위성 발사장 대대적으로 공사 중,0
전례 없이 커진 한미 공통가치 증진과 교역 증대 필요성,0
"다가올 70년, 한미동맹이 가야 할 길",0
이유 있는 반항아금태섭을 키운 건 팔할이 징계 총장 대표에게 경고신기록,0
"윤 대통령, 24일 방미 앞두고 국힘 지도부와 만찬 회동",0
"尹, 與지도부 비공개 면담 방미 설명, 국회현안 전달 받았다",0
 민주주의의 법치 규율에 정치 사법화의 해법이 있다,0
 성공의 희생양이 된 예타,0
"尹, 與지도부와 면담 방미 등 설명",0
"윤 대통령, 김기현 등 국민의힘 지도부와 면담  방미 내용 설명",0
말참견 발언에 주한 중국대사 초치 외교부 강력 항의,0
"외교부, 中대사 초치 尹 말참견 말라발언 항의",0
"이탈리아, 자녀 둘 낳으면 세금 면제할 듯...파격 저출산 대책 검토 중",0
" 외교부, 중국 대만 말참견 불허발언에 주한중국대사 초치",0
김포골드라인 탄 원희룡 장관 퇴근길도 고통길,0
"외교부, 대만 말참견 불허中발언에 주한중국대사 초치",0
" 외교부, 대만 말참견 불허 中발언에 주한중국대사 초치",0
尹 이차전지는 안보 전략 자산의 핵심,0
김구 발언태영호 비판한 윤주경 탈북민 교육 소홀했던 우리 책임이기도,0
돈봉투 전달강래구 구속영장 친 검찰 회유 정황,0
미국 올인윤 정부 방미 주머니에 안보 경제 담아올까,0
윤 대통령이 언급한 강력한 대응구체화 주목,0
"중국 대만 문제, 한반도와 달라 한국 신중해야",0
안보 리스크 긁어 부스럼윤 대통령 마이너스 외교비판,0
"경매 중지는 생색내기 피해자들, 대통령 면담 요청",0
경매 처분 때 체납세보다 전세금 우선 변제추진,0
"윤 대통령, 26일 바이든과 정상회담",0
당정 전세사기 피해자에 우선매수권 저리대출,0
참견 말라 적대 행위 중 러 격앙,0
원희룡 건축왕 전세사기에 고위 정치인 연루 제보 특별 수사 요청,0
"돈봉투 관련자, 증거인멸 회유정황...검찰, 강래구 영장에 적시",0
" 러 중 자극에 안보도 경제도 격랑, 이것이 국익 외교인가",0
 세대 갈라치고 사기꾼 가짜뉴스로 비판 막는 윤 대통령,0
"송영길, 내일 파리 회견 직후 귀국할 듯 탈당도 고려",0
돈봉투 이정근 청탁동시수사 민주당 수사대상 늘어날 듯,0
"판사, 김만배에 앞뒤 너무 안맞아...차라리 진술 거부하라",0
"尹, 12년만에 국빈 訪美... 양국 정상 부부, 한국전기념공원 함께 간다",0
대통령도 아니면서 김건희 여사 개 식용 종식발언에 육견협회 반발,0
현행 제도로 전세사기 피해구제 힘들어 결단 필요 법조계 특별법 등 구제안 찾아야,0
"김만배 안종범 돼야한다던 남욱, 진술 맞춰달라 해",0
이재명 대통령의 사기꾼 양안 군사지원 세마디에 3천만냥 빚,0
"野교육위, 정순신 가족 고발 정당한 이유없이 청문회 불출석",0
"中 尹, 대만문제 말참견 말라 韓 국격 의심, 심각한 결례",0
 송영길 22일 파리 회견서 다음주 초 귀국밝힌다,0
외교를 외신 인터뷰서 불쑥불쑥순방 전부터 대통령 리스크,0
4월21일 동정,0
딸 조민 정치한다면 응원하겠냐 아빠 조국의 답은,0
러시아 적으로 돌리는 대통령 살벌한 진영 갈등 한복판으로,0
 웃을 수도 울 수도 없는,0
" 586도, MZ도 없는 기사",0
무능외교굴욕외교비판할 때가 아니다,0
"檢, 민주당 돈봉투스폰서 사업가 압수수색",0
"원희룡 건축왕, 정치인 청탁 의혹 경찰에 특별수사 요청",0
"국회 정보위, 美도 감청 의혹 현안 보고 불발 與野 충돌",0
방미 앞둔 윤 대통령 이차전지 띄우기인플레법 활용 민관 협력,0
尹 말참견 용납 않겠다는 中 국격 의심된다 따진 외교부,0
민주 정의 대장동 50억 김건희쌍특검법 27일 패스트트랙,0
윤 대통령이 말한 나토 이상의 강력한확장억제안 무엇?,0
" 민주당, 돈봉투 의혹 해결 없이 당 미래 없다",0
"원희룡, 건축왕유력 정치인 배후설에 신속 특별수사 요청",0
"정부, 中 외교부 말참견발언에 심각한 외교적 결례  중국 대사 초치 항의",0
민주 돈봉투 의혹 대국민 사과 송영길 사람 보내 데려오자,0
천하람 착한 남성이 잠재적 성범죄자프레임 때문에 연애 못 해,0
이철우 경북도지사 대구경북(TK) 신공항 관련 가짜뉴스 차단 필요,0
"불체포특권 포기했던 권성동 떳떳하면 기댈 필요 없다, 野 비겁",0
"민주당, 전세사기 현장 방문  정의당 깡통전세 대책 3법제안",0
돈봉투관련자들 출당 놓고 내홍 빠진 민주당,0
